,0,1,2,3,4
2012-11-02,2409 友達 (太陽能產業),3481 群創 (平面顯示器),4933 友輝 (平面顯示器),3691 碩禾 (太陽能產業),1101 台泥 (水泥)
2012-11-05,2409 友達 (太陽能產業),9945 潤泰新 (建材營造),3691 碩禾 (太陽能產業),1201 味全 (食品),4933 友輝 (平面顯示器)
2012-11-06,3673 TPK-KY (觸控面板),3691 碩禾 (太陽能產業),9945 潤泰新 (建材營造),2409 友達 (太陽能產業),1201 味全 (食品)
2012-11-07,3673 TPK-KY (觸控面板),3176 基亞 (製藥),4105 東洋 (製藥),2409 友達 (太陽能產業),3691 碩禾 (太陽能產業)
2012-11-08,3691 碩禾 (太陽能產業),3673 TPK-KY (觸控面板),4119 旭富 (製藥),2049 上銀 (自動化),5871 中租-KY (太陽能產業)
2012-11-09,3622 洋華 (智慧電網),2498 宏達電 (人工智慧),3673 TPK-KY (觸控面板),6271 同欣電 (LED照明產業),2357 華碩 (人工智慧)
2012-11-12,5871 中租-KY (太陽能產業),2498 宏達電 (人工智慧),8213 志超 (印刷電路板),2328 廣宇 (印刷電路板),2409 友達 (太陽能產業)
2012-11-13,8213 志超 (印刷電路板),5871 中租-KY (太陽能產業),2328 廣宇 (印刷電路板),2409 友達 (太陽能產業),2355 敬鵬 (印刷電路板)
2012-11-14,4904 遠傳 (大數據),3265 台星科 (半導體),3189 景碩 (半導體),3673 TPK-KY (觸控面板),3034 聯詠 (半導體)
2012-11-15,4904 遠傳 (大數據),2498 宏達電 (人工智慧),3045 台灣大 (通信網路),6245 立端 (通信網路),2049 上銀 (自動化)
2012-11-16,3045 台灣大 (通信網路),4904 遠傳 (大數據),2498 宏達電 (人工智慧),9945 潤泰新 (建材營造),1402 遠東新 (建材營造)
2012-11-19,3045 台灣大 (通信網路),2002 中鋼 (鋼鐵),5489 彩富 (平面顯示器),2610 華航 (交通運輸及航運),6245 立端 (通信網路)
2012-11-20,2886 兆豐金 (金融),2006 東和鋼鐵 (鋼鐵),1905 華紙 (造紙),2890 永豐金 (金融),2002 中鋼 (鋼鐵)
2012-11-21,2886 兆豐金 (金融),2006 東和鋼鐵 (鋼鐵),1905 華紙 (造紙),2002 中鋼 (鋼鐵),6153 嘉聯益 (印刷電路板)
2012-11-22,2330 台積電 (半導體),1905 華紙 (造紙),2891 中信金 (金融),2886 兆豐金 (金融),2809 京城銀 (金融)
